C62,"Ruy Lopez, Old Steinitz Defense",5775,56.2,19.8,24
C63,"Ruy Lopez, Schliemann Defense",6185,39.3,29.1,31.6
C64,"Ruy Lopez, Classical",5774,43.7,27.2,29.1
C65,"Ruy Lopez, Berlin Defense",19974,36.9,39.7,23.4
C66,Ruy Lopez,1781,51.7,25.8,22.5
C67,Ruy Lopez,8241,28.4,50.6,21
C68,"Ruy Lopez, Exchange",14225,33.2,39.3,27.5
C69,"Ruy Lopez, Exchange, Gligoric Variation",9592,34.5,40.1,25.3
C70,Ruy Lopez,90701,37.6,37.2,25.1
C71,Ruy Lopez,7940,38.5,34.1,27.3
C72,"Ruy Lopez, Modern Steinitz Defense, 5.O-O",2498,42.3,32.7,25
C73,"Ruy Lopez, Modern Steinitz Defense",1292,36.5,34.8,28.6
C74,"Ruy Lopez, Modern Steinitz Defense",2870,38.9,35.4,25.6
C75,"Ruy Lopez, Modern Steinitz Defense",1724,36.2,38.2,25.6
C76,"Ruy Lopez, Modern Steinitz Defense, Fianchetto Variation",854,34.4,43.2,22.4
C77,Ruy Lopez,77915,36.8,38.4,24.8
C78,Ruy Lopez,65193,36.6,39.4,24
C79,"Ruy Lopez, Steinitz Defense Deferred",1714,45.6,29.9,24.5
C80,"Ruy Lopez, Open",7293,37.1,37.7,25.2
C81,"Ruy Lopez, Open, Howell Attack",817,38.6,41.5,20
C82,"Ruy Lopez, Open",2367,37.3,34.1,28.6
C83,"Ruy Lopez, Open",999,39,34.8,26.1
C84,"Ruy Lopez, Closed",43732,34.6,42.1,23.2
C85,"Ruy Lopez, Exchange Variation Doubly Deferred (DERLD)",2483,32.2,44.7,23.1
C86,"Ruy Lopez, Worrall Attack",1557,40.4,32.4,27.2
C87,Ruy Lopez,1258,42.8,36.3,20.8
C88,Ruy Lopez,39036,35.3,41.5,23.3
C89,"Ruy Lopez, Marshall",3195,31.5,34.5,34.1
C90,"Ruy Lopez, Closed",24801,33.2,45.4,21.4
C91,"Ruy Lopez, Closed",3910,38.6,36.4,25
C92,"Ruy Lopez, Closed",22540,33.4,45.6,21
C93,"Ruy Lopez, Closed, Smyslov Defense",1137,33.1,45.6,21.4
C94,"Ruy Lopez, Closed, Breyer Defense",4488,31.6,46.1,22.3
C95,"Ruy Lopez, Closed, Breyer",4042,31.1,46.1,22.8
C96,"Ruy Lopez, Closed",9512,36.2,41.3,22.5
C97,"Ruy Lopez, Closed, Chigorin",6306,37.3,40.3,22.4
C98,"Ruy Lopez, Closed, Chigorin",966,33.5,45.3,21.1
C99,"Ruy Lopez, Closed, Chigorin, 12...cd",2540,36.7,40,23.3
D00,Queen's Pawn Game,310727,40,34.3,25.7
D01,Richter-Veresov Attack,7841,35.3,29.4,35.3
D02,Queen's Pawn Game,99824,38.1,34.5,27.4
D03,Torre Attack (Tartakower Variation),5984,38.8,31.1,30.1
D04,Queen's Pawn Game,11286,35.2,31.2,33.5
D05,Queen's Pawn Game,6301,40.2,31.2,28.6
D06,Queen's Gambit Declined,210129,40.5,35.5,24
D07,"Queen's Gambit Declined, Chigorin Defense",5717,43.5,28.7,27.8
D08,"Queen's Gambit Declined, Albin Counter Gambit",3620,47.5,20.8,31.7
D09,"Queen's Gambit Declined, Albin Counter Gambit, 5.g3",1369,51.5,20.5,28
D10,Queen's Gambit Declined Slav,89251,38,39,23
D11,Queen's Gambit Declined Slav,54218,39.3,38.7,22
D12,Queen's Gambit Declined Slav,6721,33.4,43.1,23.5
D13,"Queen's Gambit Declined Slav, Exchange Variation",6711,21.9,59.5,18.7
D14,"Queen's Gambit Declined Slav, Exchange Variation",4466,13.1,75,11.9
D15,Queen's Gambit Declined Slav,52260,40.1,36.1,23.8
D16,Queen's Gambit Declined Slav,15957,37.9,38.4,23.7
D17,Queen's Gambit Declined Slav,12869,37.1,39.2,23.7
D18,"Queen's Gambit Declined Slav, Dutch",6699,34.2,40.7,25.2
D19,"Queen's Gambit Declined Slav, Dutch",5515,33.3,41.7,25
D20,Queen's Gambit Accepted,24765,39.5,36.6,23.9
D21,Queen's Gambit Accepted,12566,36.8,40.3,22.9
D22,Queen's Gambit Accepted,2040,30.2,44.4,25.4
D23,Queen's Gambit Accepted,14645,36.9,40.3,22.7
D24,Queen's Gambit Accepted,3273,40.5,30.8,28.7
D25,Queen's Gambit Accepted,10417,36.1,43.4,20.5
D26,Queen's Gambit Accepted,7176,35.2,45.3,19.5
D27,"Queen's Gambit Accepted, Classical",7634,32.4,47.8,19.8
D28,"Queen's Gambit Accepted, Classical",1502,35.8,37,27.2
D29,"Queen's Gambit Accepted, Classical",772,30.8,38.2,31
D30,Queen's Gambit Declined,91976,41.5,33.8,24.7
D31,Queen's Gambit Declined,69384,41.4,33.5,25.1
D32,"Queen's Gambit Declined, Tarrasch",7157,38.8,33.5,27.7
D33,"Queen's Gambit Declined, Tarrasch",4294,40,37.8,22.2
D34,"Queen's Gambit Declined, Tarrasch",4252,39.6,38.7,21.7
D35,Queen's Gambit Declined,52338,43.9,32.5,23.5
D36,"Queen's Gambit Declined, Exchange, Positional line, 6.Qc2",1648,45.3,32.1,22.6
D37,Queen's Gambit Declined,57774,37.7,40.6,21.7
D38,"Queen's Gambit Declined, Ragozin Variation",8662,35.2,40.9,23.9
D39,"Queen's Gambit Declined, Ragozin, Vienna Variation",577,30.2,36.9,32.9
D40,"Queen's Gambit Declined, Semi-Tarrasch",4837,37.6,42.3,20.2
D41,"Queen's Gambit Declined, Semi-Tarrasch",3390,37.9,45.1,17
D42,"Queen's Gambit Declined, Semi-Tarrasch, 7.Bd3",660,36.1,48.6,15.3
D43,Queen's Gambit Declined Semi-Slav,37523,39.3,35.3,25.4
D44,Queen's Gambit Declined Semi-Slav,3653,39.8,26.8,33.5
D45,Queen's Gambit Declined Semi-Slav,30279,38.5,37.2,24.4
D46,Queen's Gambit Declined Semi-Slav,11846,37.9,36.8,25.3
D47,Queen's Gambit Declined Semi-Slav,8667,35.1,37.6,27.2
D48,"Queen's Gambit Declined Semi-Slav, Meran",2910,37.1,33.1,29.8
D49,"Queen's Gambit Declined Semi-Slav, Meran",811,40.2,36.5,23.3
D50,Queen's Gambit Declined,24751,42.8,32.9,24.3
D51,Queen's Gambit Declined,7021,42,29.3,28.7
D52,Queen's Gambit Declined,7237,39.7,32,28.3
D53,Queen's Gambit Declined,14548,42.3,35.8,21.9
D54,"Queen's Gambit Declined, Anti-Neo-Orthodox Variation",466,43.1,42.1,14.8
D55,Queen's Gambit Declined,13951,37.6,42.3,20.1
D56,Queen's Gambit Declined,2032,28.4,56.2,15.4
D57,"Queen's Gambit Declined, Lasker Defense",379,31.1,51.7,17.2
D58,"Queen's Gambit Declined, Tartakower (Makagonov-Bondarevsky) System",6794,29,49.3,21.7
D59,"Queen's Gambit Declined, Tartakower",1373,20.8,53.4,25.8
D60,"Queen's Gambit Declined, Orthodox Defense",9920,40.4,38.9,20.7
D61,"Queen's Gambit Declined, Orthodox, Rubinstein Attack",2293,43.4,37.6,18.9
D62,"Queen's Gambit Declined, Orthodox, Rubinstein Attack",379,26.9,59.4,13.7
D63,"Queen's Gambit Declined, Orthodox Defense",4802,40.6,42,17.4
D64,"Queen's Gambit Declined, Orthodox, Rubinstein Attack",646,47.7,34.8,17.5
D65,"Queen's Gambit Declined, Orthodox, Rubinstein Attack, Main line",43,37.2,46.5,16.3
D66,"Queen's Gambit Declined, Orthodox Defense, Bd3 line",2980,41,43.8,15.1
D67,"Queen's Gambit Declined, Orthodox Defense, Bd3 line",1619,35,52.7,12.3
D68,"Queen's Gambit Declined, Orthodox Defense, Classical",890,32.7,54.7,12.6
D69,"Queen's Gambit Declined, Orthodox Defense, Classical, 13.de",387,27.6,58.9,13.4
D70,Neo-Grunfeld Defense,857,46.2,30.8,23
D71,Neo-Grunfeld,1810,37.6,39.8,22.7
D72,"Neo-Grunfeld, 5.cd, Main line",764,44.8,35.3,19.9
D73,"Neo-Grunfeld, 5.Nf3",1747,34.6,42,23.4
D74,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O",2609,38.9,40.9,20.2
D75,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O c5, 8.dxc5",367,31.3,45.5,23.2
D76,"Neo-Grunfeld, 6.cd Nxd5, 7.O-O Nb6",1380,35.6,43.4,21
D77,"Neo-Grunfeld, 6.O-O",4890,34.3,43.8,21.9
D78,"Neo-Grunfeld, 6.O-O c6",4785,36.1,46,17.9
D79,"Neo-Grunfeld, 6.O-O, Main line",2409,26.9,56.6,16.5
D80,Grunfeld,40695,34.9,37.6,27.5
D81,"Grunfeld, Russian Variation",482,39,34.6,26.3
D82,"Grunfeld, 4.Bf4",3738,33.9,40.8,25.3
D83,"Grunfeld, Grunfeld Gambit",1477,34.4,41,24.6
D84,"Grunfeld, Grunfeld Gambit Accepted",365,33.4,43.8,22.7
D85,Grunfeld,19047,35.3,37.5,27.2
D86,"Grunfeld, Exchange",6379,34.3,36.6,29.1
D87,"Grunfeld, Exchange",2909,36.1,35.7,28.2
D88,"Grunfeld, Spassky Variation, Main line, 10...cd, 11.cd",1217,37.5,36.6,25.9
D89,Grunfeld,839,35,33.8,31.1
D90,Grunfeld,13584,35.4,38,26.6
D91,"Grunfeld, 5.Bg5",4540,33.9,37.6,28.5
D92,"Grunfeld, 5.Bf4",2902,34.3,37.6,28.1
D93,"Grunfeld, with Bf4 & e3",1590,29.7,37.7,32.6
D94,Grunfeld,4247,29.1,35.8,35.1
D95,Grunfeld,654,36.5,37.8,25.7
D96,"Grunfeld, Russian Variation",4335,38,36.6,25.4
D97,"Grunfeld, Russian",3591,36.5,37.8,25.7
D98,"Grunfeld, Russian",632,34,40.2,25.8
D99,"Grunfeld Defense, Smyslov",209,39.7,34.9,25.4
E00,Queen's Pawn Game,188016,34.6,38.7,26.7
E01,"Catalan, Closed",6299,36.8,40.1,23.1
E02,"Catalan, Open, 5.Qa4",519,29.3,43.5,27.2
E03,"Catalan, Open",47,31.9,44.7,23.4
E04,"Catalan, Open, 5.Nf3",5666,34.2,42.1,23.7
E05,"Catalan, Open, Classical line",442,48,33.9,18.1
E06,"Catalan, Closed, 5.Nf3",10775,40.5,42,17.5
E07,"Catalan, Closed",2283,46.8,36.3,17
E08,"Catalan, Closed",1561,50.4,35.6,14
E09,"Catalan, Closed",1697,46.9,37.1,16
E10,Queen's Pawn Game,105114,34.1,41.6,24.4
E11,Bogo-Indian Defense,19877,35.6,40.7,23.6
E12,Queen's Indian,46702,33.1,42.4,24.4
E13,"Queen's Indian, 4.Nc3, Main line",664,36.1,32.5,31.3
E14,Queen's Indian,3774,33,40.1,26.9
E15,Queen's Indian,24452,31.4,46.3,22.3
E16,Queen's Indian,2669,37.4,41.2,21.4
E17,Queen's Indian,8065,32.4,50,17.7
E18,"Queen's Indian, Old Main line, 7.Nc3",7176,29,53.1,17.9
E19,"Queen's Indian, Old Main line, 9.Qxc3",2167,26,56.5,17.5
E20,Nimzo-Indian,73622,33.5,36.7,29.7
E21,"Nimzo-Indian, Three Knights",7133,34.2,36.8,29
E22,"Nimzo-Indian, Spielmann Variation",875,35.4,32.9,31.7
E23,"Nimzo-Indian, Spielmann",281,36.7,37.7,25.6
E24,"Nimzo-Indian, Samisch",3130,33.4,27.3,39.3
E25,"Nimzo-Indian, Samisch",1375,33.3,40.5,26.2
E26,"Nimzo-Indian, Samisch",1229,35.2,27.7,37.1
E27,"Nimzo-Indian, Samisch Variation",437,34.6,24,41.4
E28,"Nimzo-Indian, Samisch Variation",435,37.9,25.1,37
E29,"Nimzo-Indian, Samisch",599,32.2,30.4,37.4
E30,"Nimzo-Indian, Leningrad",3475,32.7,29.2,38.1
E31,"Nimzo-Indian, Leningrad, Main line",458,29.3,37.1,33.6
E32,"Nimzo-Indian, Classical",24199,33.2,39.3,27.6
E33,"Nimzo-Indian, Classical",1364,36.5,33.6,29.9
